NEG;0;uaaaa;6;0x0;;DIRECT;NEG;2;NEG;M' = 0 - M
COM;0;-aa01;6;0x3;;DIRECT;COM;2;COM;M' = 0 + M
LSR;0;-0a-s;6;0x4;;DIRECT;LSR;2;LSR;0 -> -> C b7 -> b0
ROR;0;-aa-s;6;0x6;;DIRECT;ROR;2;ROR;C -> -> C b7 -> b0
ASR;0;uaa-s;6;0x7;;DIRECT;ASR;2;ASR;b7 -> -> C b7 -> b0
LSL/ASL;0;naaas;6;0x8;;DIRECT;LSL;2;LSL;C = = 0 b7 = b0
ROL;0;-aaas;6;0x9;;DIRECT;ROL;2;ROL;C = = C b7 = b0
DEC;0;-aaa-;6;0xa;;DIRECT;DEC;2;DEC;M' = M - 1
INC;0;-aaa-;6;0xc;;DIRECT;INC;2;INC;M' = M + 1
TST;0;-aa0-;6;0xd;;DIRECT;TST;2;TST;TEMP = M - 0
CLR;0;-0100;6;0xf;;DIRECT;CLR;2;CLR;TEMP = M M = 00 16
DAA;0;-aa0a;2;0x19;;INHERENT;DAA;1;DAA;Least Significant Nibble Least Significant Nibble CF(LSN) = 6 IFF 1) C = 1 or 2) LSN > 9 Most Significant Nibble Most Significant Nibble CF(MSN) = 6 IFF 1) C = 1 or 2) MSN > 9 or 3) MSN > 8 and LSN > 9
EXG;0;ccccc;8;0x1e;;IMMEDIATE;EXG;2;EXG;R1 <-> R2
TFR;0;ccccc;7;0x1f;;IMMEDIATE;TFR;2;TFR;R1 -> R2
MUL;0;--a-a;11;0x3d;;INHERENT;MUL;1;MUL;ACCA':ACCB' = ACCA * ACCB
NEGA;0;uaaaa;2;0x40;A;INHERENT;NEG;1;NEG;M' = 0 - M
COMA;0;-aa01;2;0x43;A;INHERENT;COM;1;COM;M' = 0 + M
LSRA;0;-0a-s;2;0x44;A;INHERENT;LSR;1;LSR;0 -> -> C b7 -> b0
RORA;0;-aa-s;2;0x46;A;INHERENT;ROR;1;ROR;C -> -> C b7 -> b0
ASRA;0;uaa-s;2;0x47;A;INHERENT;ASR;1;ASR;b7 -> -> C b7 -> b0
LSLA/ASLA;0;naaas;2;0x48;;INHERENT;LSL;1;LSL;C = = 0 b7 = b0
ROLA;0;-aaas;2;0x49;A;INHERENT;ROL;1;ROL;C = = C b7 = b0
DECA;0;-aaa-;2;0x4a;A;INHERENT;DEC;1;DEC;M' = M - 1
INCA;0;-aaa-;2;0x4c;A;INHERENT;INC;1;INC;M' = M + 1
TSTA;0;-aa0-;2;0x4d;A;INHERENT;TST;1;TST;TEMP = M - 0
CLRA;0;-0100;2;0x4f;A;INHERENT;CLR;1;CLR;TEMP = M M = 00 16
NEGB;0;uaaaa;2;0x50;B;INHERENT;NEG;1;NEG;M' = 0 - M
COMB;0;-aa01;2;0x53;B;INHERENT;COM;1;COM;M' = 0 + M
LSRB;0;-0a-s;2;0x54;B;INHERENT;LSR;1;LSR;0 -> -> C b7 -> b0
RORB;0;-aa-s;2;0x56;B;INHERENT;ROR;1;ROR;C -> -> C b7 -> b0
ASRB;0;uaa-s;2;0x57;B;INHERENT;ASR;1;ASR;b7 -> -> C b7 -> b0
LSLB/ASLB;0;naaas;2;0x58;;INHERENT;LSL;1;LSL;C = = 0 b7 = b0
ROLB;0;-aaas;2;0x59;B;INHERENT;ROL;1;ROL;C = = C b7 = b0
DECB;0;-aaa-;2;0x5a;B;INHERENT;DEC;1;DEC;M' = M - 1
INCB;0;-aaa-;2;0x5c;B;INHERENT;INC;1;INC;M' = M + 1
TSTB;0;-aa0-;2;0x5d;B;INHERENT;TST;1;TST;TEMP = M - 0
CLRB;0;-0100;2;0x5f;B;INHERENT;CLR;1;CLR;TEMP = M M = 00 16
NEG;0;uaaaa;6;0x60;;INDEXED;NEG;2;NEG;M' = 0 - M
COM;0;-aa01;6;0x63;;INDEXED;COM;2;COM;M' = 0 + M
LSR;0;-0a-s;6;0x64;;INDEXED;LSR;2;LSR;0 -> -> C b7 -> b0
ROR;0;-aa-s;6;0x66;;INDEXED;ROR;2;ROR;C -> -> C b7 -> b0
ASR;0;uaa-s;6;0x67;;INDEXED;ASR;2;ASR;b7 -> -> C b7 -> b0
LSL/ASL;0;naaas;6;0x68;;INDEXED;LSL;2;LSL;C = = 0 b7 = b0
ROL;0;-aaas;6;0x69;;INDEXED;ROL;2;ROL;C = = C b7 = b0
DEC;0;-aaa-;6;0x6a;;INDEXED;DEC;2;DEC;M' = M - 1
INC;0;-aaa-;6;0x6c;;INDEXED;INC;2;INC;M' = M + 1
TST;0;-aa0-;6;0x6d;;INDEXED;TST;2;TST;TEMP = M - 0
CLR;0;-0100;6;0x6f;;INDEXED;CLR;2;CLR;TEMP = M M = 00 16
NEG;0;uaaaa;7;0x70;;EXTENDED;NEG;3;NEG;M' = 0 - M
COM;0;-aa01;7;0x73;;EXTENDED;COM;3;COM;M' = 0 + M
LSR;0;-0a-s;7;0x74;;EXTENDED;LSR;3;LSR;0 -> -> C b7 -> b0
ROR;0;-aa-s;7;0x76;;EXTENDED;ROR;3;ROR;C -> -> C b7 -> b0
ASR;0;uaa-s;7;0x77;;EXTENDED;ASR;3;ASR;b7 -> -> C b7 -> b0
