###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$8000-$8012 ; * hardware routines
$8000       ; reset
$8003       ; set up $8f - $9b
$8006       ; scan keyboard (A)
$8009       ; blink cursor
$800c       ; write to VDU (A)
$800f       ; write to printer (A)
$8012       ; update joysticks

$8015-$8027 ; * tape routines
$8015       ; motoron
$8018       ; motoroff
$801b       ; write leader
$801e       ; byte out (A)
$8021       ; read leader
$8024       ; byte in (A)
$8027       ; bit in (C)

$802a-$8030 ; * serial routines
$802a       ; read serial (A)
$802d       ; write serial (A)
$8030       ; baud rate select

$8033-$814f ; * command table : last byte of each string has MSB set
$8033-$814f ; * (token in final column)
$8033       ; FOR     80
$8036       ; GO      81
$8038       ; REM     82
$803b       ; '       83
$803c       ; ELSE    84
$8040       ; IF      85
$8042       ; DATA    86
$8046       ; PRINT   87
$804b       ; ON      88
$804d       ; INPUT   89
$8052       ; END     8A
$8055       ; NEXT    8B
$8059       ; DIM     8C
$805c       ; READ    8D
$8060       ; LET     8E
$8063       ; RUN     8F
$8066       ; RESTORE 90
$806d       ; RETURN  91
$8073       ; STOP    92
$8077       ; POKE    93
$807b       ; CONT    94
$807f       ; LIST    95
$8083       ; CLEAR   96
$8088       ; NEW     97
$808b       ; DEF     98
$808e       ; CLOAD   99
$8093       ; CSAVE   9A
$8098       ; OPEN    9B
$809c       ; CLOSE   9C
$80a1       ; LLIST   9D
$80a6       ; SET     9E
$80a9       ; RESET   9F
$80ae       ; CLS     A0
$80b1       ; MOTOR   A1
$80b6       ; SOUND   A2
$80bb       ; AUDIO   A3
$80c0       ; EXEC    A4
$80c4       ; SKIPF   A5
$80c9       ; DEL     A6
$80cc       ; EDIT    A7
$80d0       ; TRON    A8
$80d4       ; TROFF   A9
$80d9       ; LINE    AA
$80dd       ; PCLS    AB
$80e1       ; PSET    AC
$80e5       ; PRESET  AD
$80eb       ; SCREEN  AE
$80f1       ; PCLEAR  AF
$80f7       ; COLOR   B0
$80fc       ; CIRCLE  B1
$8102       ; PAINT   B2
$8107       ; GET     B3
$810a       ; PUT     B4
$810d       ; DRAW    B5
$8111       ; PCOPY   B6
$8116       ; PMODE   B7
$811b       ; PLAY    B8
$811f       ; DLOAD   B9
$8124       ; RENUM   BA
$8129       ; TAB(    BB
$812d       ; TO      BC
$812f       ; SUB     BD
$8132       ; FN      BE
$8134       ; THEN    BF
$8138       ; NOT     C0
$813b       ; STEP    C1
$813f       ; OFF     C2
$8142       ; +       C3
$8143       ; -       C4
$8144       ; *       C5
$8145       ; /       C6
$8146       ; ^       C7
$8147       ; AND     C8
$814a       ; OR      C9
$814c       ; >       CA
$814d       ; =       CB
$814e       ; <       CC
$814f       ; USING   CD

$8154-$81c4 ; * command vectors
$8154       ; for go rem '
$815c       ; else if data print
$8164       ; on input end next
$816c       ; dim read let run
$8174       ; restore return stop poke
$817c       ; cont list clear new
$8184       ; def cload csave open
$818c       ; close llist set reset
$8194       ; cls motor sound audio
$819c       ; exec skipf del edit
$81a4       ; tron troff line pcls
$81ac       ; pset preset screen pclear
$81b4       ; color circle paint get
$81bc       ; put draw pcopy pmode
$81c4       ; play dload renum

$81ca-$824d ; * function table : last byte of each string has MSB set
$81ca-$824d ; * (token in final column)
$81ca       ; SGN     FF80
$81cd       ; INT     FF81
$81d0       ; ABS     FF82
$81d3       ; POS     FF83
$81d6       ; RND     FF84
$81d9       ; SQR     FF85
$81dc       ; LOG     FF86
$81df       ; EXP     FF87
$81e2       ; SIN     FF88
$81e5       ; COS     FF89
$81e8       ; TAN     FF8A
$81eb       ; ATN     FF8B
$81ee       ; PEEK    FF8C
$81f2       ; LEN     FF8D
$81f5       ; STR$    FF8E
$81f9       ; VAL     FF8F
$81fc       ; ASC     FF90
$81ff       ; CHR$    FF91
$8203       ; EOF     FF92
$8206       ; JOYSTK  FF93
$820c       ; FIX     FF94
$820f       ; HEX$    FF95
$8213       ; LEFT$   FF96
$8218       ; RIGHT$  FF97
$821e       ; MID$    FF98
$8222       ; POINT   FF99
$8227       ; INKEY$  FF9A
$822d       ; MEM     FF9B
$8230       ; VARPTR  FF9C
$8236       ; INSTR   FF9D
$823b       ; TIMER   FF9E
$8240       ; PPOINT  FF9F
$8246       ; STRING$ FFA0
$824d       ; USR     FFA1

$8250-$8290 ; * function vectors
$8250       ; sgn int abs pos
$8258       ; rnd sqr log exp
$8260       ; sin cos tan atn
$8268       ; peek len str$ val
$8270       ; asc chr$ eof joystk
$8278       ; fix hex$ left$ right$
$8280       ; mid$ point inkey$ mem
$8288       ; varptr instr timer ppoint
$8290       ; string$ usr

$8294-$82a6 ; * binary operator table used during expression evaluation
$8294-$82a6 ; * (1st byte is precedence level followed by address of handler)
$8294       ;  +
$8297       ;  -
$829a       ;  *
$829d       ;  /
$82a0       ;  ^
$82a3       ;  AND
$82a6       ;  OR

$82a9-$82dd ; * error code strings

$82df-$82f0 ; * misc strings
$82df       ; /ERROR /
$82e6       ; / IN /
$82eb       ; CR/OK/CR
$82f0       ; CR/BREAK/

$82f7-$831b ; * examine BASIC stack (maintained 'under' machine return addresses)
$82f7-$831b ; * $3b = varptr of FOR control variable to search for (zero if none)
$82f7-$831b ; * set $3b to #$ff to skip all FOR entries
$82f7-$831b ; * returns X = $0f = pointer to matching entry for FOR / NEXT
$82f7-$831b ; * $3b = varptr of control variable for unspecified NEXT
$82f7-$831b ; * Z = 0 if matching FOR entry not found
$82f7       ; point X past 2 return addresses
$82f9       ; size of FOR stack entry
$82fb       ; $0f = this entry
$8301       ; not a FOR entry
$8305       ; varptr of control variable
$8309       ; we were called by NEXT with no variable
$830d       ; found a matching entry
$8311       ; point X to next stack entry
$8312       ; examine next entry
$8314       ; set $3b up with varptr of control variable
$8316       ; for unspecified NEXT

$831c-$8330 ; * move memory contents up
$831c-$8330 ; * start address   - $47
$831c-$8330 ; * end address     - $43
$831c-$8330 ; * new end address - $41 (D = new end address for memory check)
$831c-$8330 ; * returns $45 = U = start of relocated block
$831c       ; memory check

$8331-$8342 ; * check if there are B free words of storage left
$8333       ; end of BASIC storage
$8338       ; ?OM ERROR
$8340       ; RTS
$8342       ; ?OM ERROR

$8344-$836e ; * ?xx ERROR - error code in B
$8344       ; user error trap
$8347       ; system error trap
$834a       ; cassette relay off
$834d       ; disable audio
$8350       ; reset stack & bits & pieces
$8353       ; DEVN
$8355       ; initialise virtual DEVN device & new line
$8358       ; print '?' to DEVN
$835b       ; error string table
$835f       ; output to DEVN from ,X+
$8361       ; output to DEVN from ,X+
$8363       ; 'ERROR'
$8366       ; print string to DEVN
$8369       ; current line number
$836c       ; command mode
$836e       ; print 'IN xxxx' (current line number)

